race_analysis_id,driver,team,pit_stop_number,pit_lap,compound_from,compound_to,stint_length_before,position_before_pit,position_after_cycle,net_position_change,estimated_pit_loss_s,undercut_overcut_label,rejoin_risk,traffic_penalty_proxy_s,strategy_effect,confidence,weakest_assumption
2026-01-albert_park,ALB,Williams,1,12,MEDIUM,HARD,12,12,12,0,39.633,neutral stop,high,0.0,Pit cycle kept track position proxy stable.,0.62,Pit-cycle position is a lap-position proxy; no gap feed is available.
2026-01-albert_park,ALB,Williams,2,33,HARD,SOFT,21,12,12,0,23.152,neutral stop,high,0.0,Pit cycle kept track position proxy stable.,0.62,Pit-cycle position is a lap-position proxy; no gap feed is available.
2026-01-albert_park,ALO,Aston Martin,1,11,SOFT,SOFT,11,17,19,-2,,lost after stop,high,,Pit cycle cost track position proxy.,0.62,Pit-cycle position is a lap-position proxy; no gap feed is available.
2026-01-albert_park,ALO,Aston Martin,2,13,SOFT,SOFT,2,19,19,0,,neutral stop,high,,Pit cycle kept track position proxy stable.,0.62,Pit-cycle position is a lap-position proxy; no gap feed is available.
2026-01-albert_park,ANT,Mercedes,1,12,MEDIUM,HARD,12,5,5,0,50.179,neutral stop,low,3.588,Pit cycle kept track position proxy stable.,0.62,Pit-cycle position is a lap-position proxy; no gap feed is available.
2026-01-albert_park,BEA,Haas F1 Team,1,18,MEDIUM,HARD,18,8,8,0,23.176,neutral stop,medium,0.379,Pit cycle kept track position proxy stable.,0.62,Pit-cycle position is a lap-position proxy; no gap feed is available.
2026-01-albert_park,BOR,Audi,1,18,MEDIUM,HARD,18,9,9,0,25.9,neutral stop,medium,0.371,Pit cycle kept track position proxy stable.,0.62,Pit-cycle position is a lap-position proxy; no gap feed is available.
2026-01-albert_park,BOR,Audi,2,33,HARD,HARD,15,11,11,0,18.529,neutral stop,high,0.0,Pit cycle kept track position proxy stable.,0.62,Pit-cycle position is a lap-position proxy; no gap feed is available.
2026-01-albert_park,BOT,Cadillac,1,12,HARD,HARD,12,19,18,1,,gained after stop,high,,Pit cycle improved track position proxy.,0.62,Pit-cycle position is a lap-position proxy; no gap feed is available.
2026-01-albert_park,COL,Alpine,1,9,HARD,HARD,9,20,18,2,43.603,gained after stop,high,19.74,Pit cycle improved track position proxy.,0.62,Pit-cycle position is a lap-position proxy; no gap feed is available.
2026-01-albert_park,COL,Alpine,2,46,HARD,SOFT,37,14,14,0,13.702,neutral stop,high,0.0,Pit cycle kept track position proxy stable.,0.62,Pit-cycle position is a lap-position proxy; no gap feed is available.
2026-01-albert_park,GAS,Alpine,1,11,MEDIUM,HARD,11,12,11,1,45.913,gained after stop,high,26.363,Pit cycle improved track position proxy.,0.62,Pit-cycle position is a lap-position proxy; no gap feed is available.
2026-01-albert_park,HAM,Ferrari,1,28,MEDIUM,HARD,28,4,4,0,16.069,neutral stop,low,0.0,Pit cycle kept track position proxy stable.,0.62,Pit-cycle position is a lap-position proxy; no gap feed is available.
2026-01-albert_park,LAW,Racing Bulls,1,11,MEDIUM,HARD,11,16,15,1,34.722,gained after stop,high,10.073,Pit cycle improved track position proxy.,0.62,Pit-cycle position is a lap-position proxy; no gap feed is available.
2026-01-albert_park,LAW,Racing Bulls,2,33,HARD,SOFT,22,13,14,-1,27.563,lost after stop,high,0.0,Pit cycle cost track position proxy.,0.62,Pit-cycle position is a lap-position proxy; no gap feed is available.
2026-01-albert_park,LEC,Ferrari,1,25,MEDIUM,HARD,25,4,4,0,14.254,neutral stop,low,0.0,Pit cycle kept track position proxy stable.,0.62,Pit-cycle position is a lap-position proxy; no gap feed is available.
2026-01-albert_park,LIN,Racing Bulls,1,18,MEDIUM,HARD,18,6,7,-1,23.816,lost after stop,medium,0.508,Pit cycle cost track position proxy.,0.62,Pit-cycle position is a lap-position proxy; no gap feed is available.
2026-01-albert_park,NOR,McLaren,1,11,MEDIUM,HARD,11,9,9,0,47.515,neutral stop,medium,28.028,Pit cycle kept track position proxy stable.,0.62,Pit-cycle position is a lap-position proxy; no gap feed is available.
2026-01-albert_park,NOR,McLaren,2,34,HARD,MEDIUM,23,6,8,-2,28.248,lost after stop,medium,0.0,Pit cycle cost track position proxy.,0.62,Pit-cycle position is a lap-position proxy; no gap feed is available.
2026-01-albert_park,OCO,Haas F1 Team,1,11,MEDIUM,HARD,11,11,10,1,47.447,gained after stop,medium,26.858,Pit cycle improved track position proxy.,0.62,Pit-cycle position is a lap-position proxy; no gap feed is available.
2026-01-albert_park,PER,Cadillac,1,18,MEDIUM,HARD,18,16,16,0,36.386,neutral stop,high,0.0,Pit cycle kept track position proxy stable.,0.62,Pit-cycle position is a lap-position proxy; no gap feed is available.
2026-01-albert_park,PER,Cadillac,2,43,HARD,SOFT,25,16,16,0,15.175,neutral stop,high,0.0,Pit cycle kept track position proxy stable.,0.62,Pit-cycle position is a lap-position proxy; no gap feed is available.
2026-01-albert_park,RUS,Mercedes,1,12,MEDIUM,HARD,12,3,3,0,46.699,neutral stop,low,3.926,Pit cycle kept track position proxy stable.,0.62,Pit-cycle position is a lap-position proxy; no gap feed is available.
2026-01-albert_park,SAI,Williams,1,11,SOFT,HARD,11,13,13,0,42.988,neutral stop,high,22.209,Pit cycle kept track position proxy stable.,0.62,Pit-cycle position is a lap-position proxy; no gap feed is available.
