race_analysis_id,winner,winner_team,podium,dominant_strategy,winning_compound_path,race_shape,primary_story,key_strategy_factor,key_pace_factor,key_position_factor,weather_summary,confidence,weakest_assumption
2026-01-albert_park,RUS,Mercedes,"RUS, ANT, LEC",one-stop majority,MEDIUM > HARD,track-status interrupted pace profile,RUS won for Mercedes.,one-stop majority shaped stint length and tyre exposure.,ANT held the strongest median race pace.,VER had the largest start-finish gain proxy.,"Dry timing feed, track temp 36.1C avg.",0.999,Race-control messages and pass-by-pass attribution are unavailable; position movement is proxy-based.
2026-02-shanghai,ANT,Mercedes,"ANT, RUS, HAM",one-stop majority,MEDIUM > HARD,track-status interrupted pace profile,ANT won for Mercedes.,one-stop majority shaped stint length and tyre exposure.,RUS held the strongest median race pace.,SAI had the largest start-finish gain proxy.,"Dry timing feed, track temp 23.7C avg.",0.997,Race-control messages and pass-by-pass attribution are unavailable; position movement is proxy-based.
2026-03-suzuka,ANT,Mercedes,"ANT, PIA, LEC",one-stop majority,MEDIUM > HARD,track-status interrupted pace profile,ANT won for Mercedes.,one-stop majority shaped stint length and tyre exposure.,ANT held the strongest median race pace.,LAW had the largest start-finish gain proxy.,"Dry timing feed, track temp 36.2C avg.",0.997,Race-control messages and pass-by-pass attribution are unavailable; position movement is proxy-based.
2026-04-miami,ANT,Mercedes,"ANT, NOR, PIA",one-stop majority,MEDIUM > HARD,track-status interrupted pace profile,ANT won for Mercedes.,one-stop majority shaped stint length and tyre exposure.,NOR held the strongest median race pace.,BOR had the largest start-finish gain proxy.,"Dry timing feed, track temp 36.9C avg.",0.999,Race-control messages and pass-by-pass attribution are unavailable; position movement is proxy-based.
2026-05-villeneuve,ANT,Mercedes,"ANT, HAM, VER",one-stop majority,SOFT > MEDIUM,track-status interrupted pace profile,ANT won for Mercedes.,one-stop majority shaped stint length and tyre exposure.,ANT held the strongest median race pace.,STR had the largest start-finish gain proxy.,"Dry timing feed, track temp 17.3C avg.",0.999,Race-control messages and pass-by-pass attribution are unavailable; position movement is proxy-based.
2026-06-monaco,ANT,Mercedes,"ANT, HAM, GAS",5-stop majority,MEDIUM > HARD > SOFT > SOFT > SOFT,track-status interrupted pace profile,ANT won for Mercedes.,5-stop majority shaped stint length and tyre exposure.,ANT held the strongest median race pace.,ALO had the largest start-finish gain proxy.,"Dry timing feed, track temp 39.2C avg.",0.996,Race-control messages and pass-by-pass attribution are unavailable; position movement is proxy-based.
2026-07-catalunya,HAM,Ferrari,"HAM, RUS, NOR",two-stop majority,SOFT > HARD > MEDIUM > HARD,track-status interrupted pace profile,HAM won for Ferrari.,two-stop majority shaped stint length and tyre exposure.,HAM held the strongest median race pace.,GAS had the largest start-finish gain proxy.,"Dry timing feed, track temp 50.7C avg.",1.0,Race-control messages and pass-by-pass attribution are unavailable; position movement is proxy-based.
2026-08-red_bull_ring,RUS,Mercedes,"RUS, VER, ANT",two-stop majority,MEDIUM > HARD > HARD,track-status interrupted pace profile,RUS won for Mercedes.,two-stop majority shaped stint length and tyre exposure.,ANT held the strongest median race pace.,VER had the largest start-finish gain proxy.,"Dry timing feed, track temp 49.5C avg.",1.0,Race-control messages and pass-by-pass attribution are unavailable; position movement is proxy-based.
2026-09-silverstone,LEC,Ferrari,"LEC, RUS, HAM",two-stop majority,MEDIUM > HARD > SOFT,track-status interrupted pace profile,LEC won for Ferrari.,two-stop majority shaped stint length and tyre exposure.,LEC held the strongest median race pace.,COL had the largest start-finish gain proxy.,"Dry timing feed, track temp 40.5C avg.",0.997,Race-control messages and pass-by-pass attribution are unavailable; position movement is proxy-based.
2026-10-spa,ANT,Mercedes,"ANT, LEC, VER",one-stop majority,MEDIUM > SOFT,track-status interrupted pace profile,ANT won for Mercedes.,one-stop majority shaped stint length and tyre exposure.,ANT held the strongest median race pace.,HAD had the largest start-finish gain proxy.,"Dry timing feed, track temp 30.2C avg.",0.99,Race-control messages and pass-by-pass attribution are unavailable; position movement is proxy-based.
2026-11-hungaroring,NOR,McLaren,"NOR, VER, ANT",two-stop majority,MEDIUM > HARD > HARD > SOFT,track-status interrupted pace profile,NOR won for McLaren.,two-stop majority shaped stint length and tyre exposure.,NOR held the strongest median race pace.,STR had the largest start-finish gain proxy.,"Dry timing feed, track temp 51.5C avg.",1.0,Race-control messages and pass-by-pass attribution are unavailable; position movement is proxy-based.
2026-12-zandvoort,NOR,McLaren,"NOR, ANT, RUS",3-stop majority,MEDIUM > SOFT > HARD > HARD,track-status interrupted pace profile,NOR won for McLaren.,3-stop majority shaped stint length and tyre exposure.,ANT held the strongest median race pace.,ALO had the largest start-finish gain proxy.,Wet or damp weather appeared in the timing feed.,0.995,Race-control messages and pass-by-pass attribution are unavailable; position movement is proxy-based.
